id,utr,credit_paise,narration,value_date
bl_dup_00304,HQR6F7QNEZW9HEYC,4706248,RZPX*ACMEENTERP7F3A2C,2026-03-06T00:00:00Z
bl_dup_00306,GM5V2WWG84D4R9V4,167517,RZPX*SUNRISEMARTGM5V2WWG,2026-01-21T16:07:00Z
bl_dup_00308,ILU6VFUA9BQ1BTR2,105065,RZPX*ACMEENTERPILU6VFUA,2026-04-10T15:04:00Z
bl_dup_00310,1YOHMI9AYFQUV9QE,329251,RZPX*APEXRETAIL1YOHMI9A,2026-03-11T08:30:00Z
bl_dup_00312,ZAWNYTK1ZWUHYWM7,192316,RZPX*NORTHSTARCOZAWNYTK1,2026-04-18T12:53:00Z
bl_setl_synth_016ZZOILKQXLM5Q2,016ZZOILKQXLM5Q2,135356,RZPX*APEXRETAIL016ZZOIL,2026-02-03T06:33:00Z
bl_setl_synth_06XKXB94PDZP6LFE,06XKXB94PDZP6LFE,3711976,RZPX*NORTHSTARCO06XKXB94,2026-03-12T07:35:00Z
bl_setl_synth_07G2RE6ZVLHYL2LD,07G2RE6ZVLHYL2LD,320155,RZPX*APEXRETAIL07G2RE6Z,2026-02-08T11:50:00Z
bl_setl_synth_0I9G5DZX5QJICJDA,0I9G5DZX5QJICJDA,862492,RZPX*APEXRETAIL0I9G5DZX,2026-05-06T17:07:00Z
bl_setl_synth_11KERPETIUYMO0PQ,11KERPETIUYMO0PQ,458463,RZPX*ACMEENTERP11KERPET,2026-01-07T07:05:00Z
bl_setl_synth_15BCW790PDW5PY6B,15BCW790PDW5PY6B,3122282,RZPX*ACMEENTERP15BCW790,2026-02-16T21:52:00Z
bl_setl_synth_16DVTJA0ASSNH2OD,16DVTJA0ASSNH2OD,810127,RZPX*APEXRETAIL16DVTJA0,2026-03-02T04:50:00Z
bl_setl_synth_1BCPPVOHSMDYVSLH,1BCPPVOHSMDYVSLH,705616,RZPX*NORTHSTARCO1BCPPVOH,2026-04-30T01:53:00Z
bl_setl_synth_1DDQLEM1QQ4D3KZV,1DDQLEM1QQ4D3KZV,1923189,RZPX*GLOBALTRADE1DDQLEM1,2026-01-16T07:20:00Z
bl_setl_synth_1G463SDYGFLIJI18,1G463SDYGFLIJI18,2770927,RZPX*SUNRISEMART1G463SDY,2026-04-18T10:26:00Z
bl_setl_synth_1N759IN4OLR6N92X,1N759IN4OLR6N92X,4421081,RZPX*GLOBALTRADE1N759IN4,2026-03-09T12:04:00Z
