order_id,order_amount_paise,currency,order_created_at,payment_id,payment_status,fee_paise,tax_paise,captured_at,refund_id,refund_amount_paise,refund_created_at
order_synth_00001,943912,INR,2026-01-08T09:23:00Z,pay_synth_00001,captured,18878,3398,2026-01-08T09:31:00Z,,,
order_synth_00002,3555146,INR,2026-02-17T09:29:00Z,pay_synth_00002,captured,71103,12799,2026-02-17T09:36:00Z,,,
order_synth_00003,394402,INR,2026-03-30T07:46:00Z,pay_synth_00003,captured,7888,1420,2026-03-30T07:49:00Z,,,
order_synth_00004,1852265,INR,2026-04-02T11:04:00Z,pay_synth_00004,captured,37045,6668,2026-04-02T11:12:00Z,,,
order_synth_00005,4905028,INR,2026-02-25T12:21:00Z,pay_synth_00005,captured,98101,17658,2026-02-25T12:26:00Z,,,
order_synth_00006,2248291,INR,2026-04-13T21:52:00Z,pay_synth_00006,captured,44966,8094,2026-04-13T21:56:00Z,,,
order_synth_00007,14797,INR,2026-03-22T11:03:00Z,pay_synth_00007,captured,296,53,2026-03-22T11:04:00Z,,,
order_synth_00008,3559538,INR,2026-02-01T18:24:00Z,pay_synth_00008,captured,71191,12814,2026-02-01T18:47:00Z,,,
order_synth_00009,604394,INR,2026-03-11T08:07:00Z,pay_synth_00009,captured,12088,2176,2026-03-11T08:29:00Z,,,
order_synth_00010,3387432,INR,2026-04-08T11:34:00Z,pay_synth_00010,captured,67749,12195,2026-04-08T11:42:00Z,,,
order_synth_00011,4083853,INR,2026-03-07T07:17:00Z,pay_synth_00011,captured,81677,14702,2026-03-07T07:46:00Z,,,
order_synth_00012,489537,INR,2026-01-11T19:56:00Z,pay_synth_00012,captured,9791,1762,2026-01-11T20:13:00Z,,,
order_synth_00013,2197461,INR,2026-01-31T22:51:00Z,pay_synth_00013,captured,43949,7911,2026-01-31T23:02:00Z,,,
order_synth_00014,2400647,INR,2026-01-25T14:57:00Z,pay_synth_00014,captured,48013,8642,2026-01-25T15:20:00Z,,,
order_synth_00015,4249678,INR,2026-03-08T08:34:00Z,pay_synth_00015,captured,84994,15299,2026-03-08T08:37:00Z,,,
order_synth_00016,1252300,INR,2026-03-01T04:21:00Z,pay_synth_00016,captured,25046,4508,2026-03-01T04:31:00Z,,,
order_synth_00017,3468576,INR,2026-01-08T06:07:00Z,pay_synth_00017,captured,69372,12487,2026-01-08T06:37:00Z,,,
order_synth_00018,1630090,INR,2026-02-25T11:12:00Z,pay_synth_00018,captured,32602,5868,2026-02-25T11:40:00Z,,,
order_synth_00019,4300127,INR,2026-01-19T13:08:00Z,pay_synth_00019,captured,86003,15481,2026-01-19T13:15:00Z,,,
order_synth_00020,3435848,INR,2026-02-15T13:44:00Z,pay_synth_00020,captured,68717,12369,2026-02-15T13:54:00Z,,,
order_synth_00021,3979373,INR,2026-04-16T05:47:00Z,pay_synth_00021,captured,79587,14326,2026-04-16T05:50:00Z,,,
order_synth_00022,4157136,INR,2026-02-25T08:19:00Z,pay_synth_00022,captured,83143,14966,2026-02-25T08:40:00Z,,,
